monthly_payment,description,price,square_price,area,rooms,subways,floors
188168.0,"Продается большая двухкомнатная квартира на 4-м этаже 14-этажного дома в Некрасовке.

Площадь квартиры: 58,8 кв. метров
Площадь кухни - 12 кв. метров
Площадь первой спальни - 16 кв. метров
Площадь второй спальни - 13 кв. метров
Отдельная гардеробная и коридор - 12 кв. метров
Раздельный санузел. 

Квартира двусторонняя, распашонка. 
В доме хорошие приятные, спокойные соседи, три квартиры на этаже. 

Район с развитой инфраструктурой и высокой транспортной доступностью. 
Рядом с домом магазины Ашан, Пятерочка, Верный; пекарни, кафе, бытовые услуги, пункты выдачи и доставки, зоотовары, фотоуслуги, парикмахерские. 
В нескольких минутах от дома новая школа и детский сад, медицинский центр, новый фитнес-центр, бассейн, большой стадион, центр социального обслуживания, рядом с домом новый храм, в 15-ти минутах Люберецкий рынок. 

Зеленый район, пешком можно дойти до парка,.  
Во дворе есть места для парковки, есть детская игровая площадка. 

До метро Выхино и Некрасовка 20 мин на автобусе.
До станции Люберцы и МЦД 15 мин пешком.
На авто - удобный выезд на МСД СВХ в разные направления.

Документы: 
Готовы к сделке. Один взрослый собственник. Полная стоимость в договоре. Подходит под ипотеку. 
",11290000,192006,58.8,2,нет метро,14
306668.0,"Арт. 70392230 АН Самолет Плюс предлагает вашему вниманию однокомнатную квартиру с ремонтом и отличными видовыми характеристиками в ЖК бизнес класса FREEDOM.
УНИКАЛЬНОЕ ТОРГОВОЕ ПРЕДЛОЖЕНИЕ. ТОЛЬКО ОТ САМОЛЕТ ПЛЮС.   
СНИЖАЕМ СТАВКУ НА ИПОТЕКУ НА ВТОРИЧНОМ РЫНКЕ на весь срок кредитования - до 12.9% !
Квартира с Дизайнерским ремонтом, оснащена всей необходимой мебелью и бытовой техникой.
Инфраструктура:Жилой комплекс из трёх корпусов, огороженная территория с видеонаблюдением, 3 КПП, подземный паркинг.
Первая береговая линия с ВИДОМ на Москву реку в сторону Москвы Сити! 
Строится пешеходная набережная от ЖК Фридом до самого Москва-Сити. 
Дом построен лучшим застройщиком Москвы Донстрой. 
Качественная внутренняя отделка входных групп, скоростные 4 лифта. В доме подземная трехуровневая парковка, консьерж круглосуточный, автомойка, лапомойка, кладовые, колясочные, свой бесплатный фитнес-клуб на 1 этаже.
Описание:Дом тёплый и комфортный, в комнатных тапочках можно перемещаться до этажей паркинга, фитнеса и кладовок.
Во дворе фонтаны, лаундж зоны с зарядными, креслами, можно уединиться отдохнуть, поработать с ноутбуком и кофе.
Отличная транспортная доступность: в центр, в область и по Северо-Западной хорде в любую точку Москвы.
Рядом станция МЦК Хорошево, станция метро Народное Ополчение.
Новая станция метро  откроется в 2024 году, всего в 500 метрах от дома.
ЗВОНИТЕ НЕ РАЗДУМЫВАЯ! 
Квартиру надо смотреть. Записывайтесь на показ. Помощь в одобрении ипотеки. Юридическое сопровождение сделки.",19500000,527027,37.0,1,"Полежаевская, Шелепиха, Хорошёво, Хорошёвская, Народное Ополчение",27
1083341.0,"Продаётся просторная Евро-трехкомнатная квартира,  площадью 82.4 кв.м., расположенная на 15 этаже монолитного дома в элитном жилом комплексе ""Донской Олимп"" 2017 года постройки.

Квартира имеет дизайнерский ремонт и продуманную до мелочей планировку - 2 спальни, гостиная, кухня в отдельной нише, просторный коридор, совмещенный санузел.
1 спальня -  19 кв.м.
2 спальня - 13 кв.м.
гостиная - 22 кв.м.
кухня - 6 кв.м.
Квартира - распашонка, легко проветриваемая.
Полностью оборудована всей мебелью и техникой в отличном состоянии, в том числе 2мя кондиционерами. Это позволяет сразу заехать в квартиру и жить в комфорте.
Высота потолков - более 3х метров, поэтому комнаты выглядят еще более светлыми и просторными.

Последний этаж обеспечивает не только шикарные панорамные виды на город, но и отсутствие соседей над головой. Соседей нет так же и по трем внешним сторонам квартиры, а по стене, граничащей с другой квартирой выполнена шумоизоляция с обеих сторон, за счет всех этих факторов у Вас дома всегда будет тихо или, напротив, Вы можете не беспокоиться об уровне звука при прослушивании музыки или просмотре любимых фильмов.  

У дома, одна из самых больших закрытых территорий среди многочисленных ЖК столицы, которая вмещает в себя детские и спортивные площадки, аллеи, скверы для прогулок, зоны отдыха.

Дом оборудован 2-х уровневой подземной охраняемой парковкой, для удобства жителей есть  как пассажирский, так и грузовой лифты. Подъезды и внутренние помещения оборудованы пандусами для людей с ограниченными возможностями.

Район окружен всей необходимой инфраструктурой:  школы, детские сады, торговые центры и фитнес-центры, клиники, всевозможные магазины, рестораны и досуговые центры. Также недалеко находятся парк и другие зелёные зоны для отдыха и прогулок.

Расположение дома позволяет быстро добраться до различных точек города. Всего в нескольких минутах ходьбы находятся станции метро «Тульская», «Шаболовская», «Площадь Гагарина», «Ленинский проспект» и «Серпуховская». Это делает квартиру идеальным выбором для тех, кто ценит комфорт и удобство городской жизни.

Один взрослый собственник более 5 лет, полная стоимость в Договоре купли-продажи, нет прописанных и проживающих, свободная продажа, ипотека возможна.

Звоните в любое удобное время, с удовольствием отвечу на Ваши вопросы и приглашу на просмотр.",65000000,788834,82.4,2,"Шаболовская, Ленинский проспект, Серпуховская, Тульская, Площадь Гагарина",15
280002.0,"Квартира с качественным евроремонтом, меблирована. Функциональная и грамотная планировка. Просторная гостиная, две изолированные спальни, удобная и функциональная кухня. Окна выходят на две стороны, квартира распашонка. Из гостиной выход на балкон, а из детской выход на обустроенную лоджию. Квартира никогда не сдавалась, жили сами собственники всегда. По документам- договор купли продажи, более 5 лет в собственности, никто не зарегистрирован, один собственник, свободная продажа.",16800000,224000,75.0,3,"Бульвар Дмитрия Донского, Улица Скобелевская, Улица Старокачаловская, Лесопарковая, Битца, Бутово",17
407205.3610675039,"Предлагается квартира с отделкой класса de luxe с использованием высококачественных материалов (натуральный камень, дерево). Дизайнерская мебель брендов Maxalto и B&B Italia, предметы интерьера, стильные аксессуары, сочетание теплых, спокойных оттенков сделали эту функциональную квартиру практичной, красивой и уютной. Кухня-гостиная, кабинет, спальня, 2 санузла, гардеробная, хоз.комната.Дополнительно предлагается 2 машино-места в подземном паркинге.
Бутиковский, дом 5 - один из лучших домов Золотой мили на самой фешенебельной улице Москвы. Особняк оставляет впечатление одновременно солидной надежности и спокойного уюта – места, идеального для семейного проживания. Основательные и строгие фасады здания отгораживают от посторонних глаз неожиданно обширную внутреннюю территорию, озелененную и обустроенную. Для удобства жильцов в доме расположен бассейн и тренажёрный зал.
Наша компания состоит в ассоциации AREA [Лот #5732]",456006220,2913777,156.5,3,нет метро,6
407205.3610675039,"Предлагается на продажу просторная 4-комнатная квартира площадью 199 м² в Хамовниках
Вариант отлично подходит для семьи. Планировка включает в себя: кухню и гостиную с зоной столовой, просторную хозяйскую мастер-спальню с гардеробной и ванной комнатами, детский блок на две спальни со своим санузлом, гостевой санузел, постирочную и удобную прихожую с гардеробной. В кухне есть выход на большую лоджию. 
Благодаря большим окнам и высоким потолкам 3,2 метра квартира наполнена приятным естественным светом. Окна выходят во двор — тишина и спокойствие гарантированы. 
В квартире выполнена качественная отделка в стиле современной классики. Для ремонта использовались натуральные материалы и декор известных брендов. Подробное описание материалов отделки будет предоставлено по желанию клиента. 
Жилой комплекс премиум-класса «Фьюжн Парк» расположен в историческом центре города, в престижном районе Хамовники. Рядом находится парк Усадьбы Трубецких — отличное место для прогулок и отдыха на свежем воздухе. Территория жилого комплекса огорожена, работают охрана и видеонаблюдение. Жителям доступна вся необходимая инфраструктура центра в ближайшем окружении. В пешей доступности находится именитая Филипповская школа.
Наша компания состоит в ассоциации AREA [Лот #22456]",200000000,1005025,199.0,4,"Парк культуры, Фрунзенская, Спортивная, Лужники, Парк культуры, Киевская",11
407205.3610675039,"ЖК ""Верхние Поля, 27"" - Собственник.
Продаётся квартира с ремонтом и мебелью в жилом доме. Общая площадь - 36,9 кв.м.
Новые инженерные коммуникации, установлены новые пластиковые окна и металлическая входная дверь. Жилой дом после капитального ремонта. Выполнен ремонт мест общего пользования и подъезда.

Звоните, подробности по телефону. Оперативный показ.",8850000,239837,36.9,1,"Люблино, Братиславская, Марьино, Кубанская, Депо, Перерва",9
716671.0,"Эксклюзив! 
Предлагается к продаже жилая 2 - комнатная светлая и уютная Квартира (не апартаменты), в престижном ЖК бизнес- класса ""Царская площадь"", корпус Александровский. Подьезд В8. Квартира с качественным и продуманным ремонтом.

О Комплексе: В 8 минутах ходьбы от комплекса находится станция метро ""Динамо"", до станции ""Белорусская"" (и Белорусского вокзала) 15 минут, а до Кремля 40 минут пешком. Хорошее транспортное сообщение с другими районами Москвы обеспечивает проходящее совсем рядом ТТК и Ленинградский проспект, с которого можно выехать на Тверскую улицу, а также на Новорижское, Пятницкое, Волоколамское и Ленинградское шоссе. ЖК бизнес-класса ""Царская Площадь"" - одно из самых ярких предложений на рынке городской недвижимости Москвы. Комплекс состоит из четырех корпусов. Каждый уникален по своему дизайну. На территории комплекса есть вся необходимая инфраструктура: магазины, кафе, аптека, салон красоты, детские развивающие центры, спортивный клуб с бассейном Gold's Gym, ресторан Паризьен (Parisienne: топ 10 ресторанов Москвы). А также пешеходная галерея, на которой организованы зоны отдыха с фонтанами, зимой каток. В шаговой доступности лицей, поликлиника, бизнес-центр Монарх. Ландшафтный дизайн в ЖК от бюро Wowhouse (примеры их работ - Парк Горького). Удобные транспортные развязки. В пешей доступности метро Динамо, Белорусская, Беговая. В пяти минутах ходьбы ""Петровский Парк"". 

Один взрослый собственник. Никто не прописан. Без обременений. Агенства просьба не беспокоить, помощь в продаже не нужна!",42999999,693548,62.0,2,"Динамо, Петровский парк, Белорусская",18
116667.0,"Метро, автобус и магазины в пешей доступности ",7000000,166666,42.0,2,"Минская, Славянский бульвар, Пионерская, Филёвский парк, Багратионовская, Славянский бульвар, Парк Победы",5
166769.0,"Номер в базе: 977923. ПРОПИСКА МОСКВА!

Шикарная 2-комнатная квартира в живописном районе Щербинки идеально подойдет для комфортного проживания семьи. Просторная планировка, две изолированные комнаты, два санузла, застекленные лоджии - все для вашего уюта и удобства.

Дом оборудован всем необходимым: чистый подъезд, два лифта, огороженная детская площадка. Рядом с домом расположены остановки общественного транспорта, магазины, аптеки, школа и детский сад. Парк Барышиха и музей-усадьба Остафьево в нескольких минутах ходьбы - отличные места для отдыха и прогулок.

Удобная транспортная доступность позволит быстро добраться до центра города и других районов. Свободная продажа, один взрослый собственник, все документы в порядке. Не упустите возможность приобрести эту прекрасную квартиру и создать свой уютный уголок в самом сердце Щербинки. Звоните прямо сейчас и запишитесь на просмотр!


Код пользователя: 69144",11000000,156695,70.2,2,"Улица Горчакова, Бунинская Аллея, Силикатная, Бутово, Щербинка, Остафьево",20
407205.3610675039,"Продается красивая квартира 181 кв. м. на 2 спальни, с мебелью и техникой

🍒 Престижная локация рядом с Рублевским шоссе ул.Ак.Павлова,24
🍒 Район зеленый - сквер у дома, 2 парка, лес
🍒 Рядом школы и садики - государственные, частная школа Олимп-Плюс, школа-садик Монтессори
🍒 Магазины - Вкус вилл, Азбука вкуса, Мираторг.
🍒 Транспортная доступность - Рублевское шоссе, Рублево-Успенское шоссе, в сторону п.Барвиха, новая трасса бизнес-класса в центр - пр.Багратиона

➡️ Огороженная территория с детской площадкой, сквером, гостевой парковкой
➡️ На въезде шлагбаум, охрана
➡️ Консьерж

👉 Высокие потолки 3.7 м.
👉 Окна на солнечную сторону
👉 20 этаж из 22 - роскошный вид
👉 Ремонт в стиле современная классика
👉 Итальянская мебель, шкафы-купе на заказ
👉 Брендовая бытовая техника Daikin, Kuppersbusch, Liebherr, Miele, Hansgrohe, Duravit, Villeroy & Boch
👉 2 места на подземной парковке
     
✅ Один владелец, вся сумма в договоре.
✅ Цена 125 000 000 р. Торг.",109950000,606788,181.2,4,"Кунцевская, Молодёжная, Крылатское, Сетунь, Рабочий Посёлок, Кунцевская",21
243168.0,"Продаётся современная квартира. В квартире никто не жил после ремонта, все
новое! Делали для себя. Все фото реальные, не визуализация.
Квартира находится в районе Северное Тушино.
Дом после капремонта ,чистый благоустроенный двор. Рядом находится парк Дубовая роща Северное Тушино, красивая набережная, природный комплекс
Сходненский ковш в пешей доступности. 8 минут пешком до метро.
Выполнен современный авторский дизайн. С удобной планировкой. Стильная спальня, просторная гостиная, гардеробная, совмещённый санузел. Сделали выравнивание пола и стен. Замененные окна КВЕ.
Много места для хранения: встроенные шкафы в коридоре , вся мебель, в т.ч. мягкая выполнена под заказ, специально по дизайн проекту.
Ремонт был сделан для себя, из дорогих качественных материалов: электрика АВВ, сантехника Rehau, итальянская плитка, двери
Profildoors,
Кухня с матовыми фасадами, установлена немецкая техника: встроенный холодильник Веко, духовой
шкаф Weissgauff,
варочная газовая панель Weissgauff.
Тихий двор, вид на хвойные деревья,за окном летают птицы, перед домом большая парковка, всегда есть парковочные места. Сделан капитальный ремонт дома ,подъезд изнутри как новый,",14590000,374102,39.0,2,"Планерная, Сходненская",9
800005.0,"Id 25477. Продаётся просторная 3-х комнатная квартира площадью 64,6 м2 в историческом центре Москвы в трех минутах от метро Сухаревская в тихом месте. Расположена на 3 этаже 4-х этажного дома. Квартира состоит из 3 изолированных комнат, кухни-столовой, одного раздельного санузла, прихожей и коридора. Кирпичный дом 1905 года постройки с ЖБ перекрытиями, после капремонта.

Преимущества:
Окна квартиры выходят на две стороны
Высокие потолки 3.5 м.
Все достопримечательности столицы в шаговой доступности

Один взрослый собственник, без обременений. Оперативный показ.
Все документы готовы к продаже, быстрый выход на сделку!
Торг после просмотра.",48000000,743034,64.6,3,"Сухаревская, Тургеневская, Красные Ворота, Чистые пруды, Цветной бульвар, Кузнецкий Мост, Трубная, Сретенский бульвар, Каланчёвская, Проспект Мира",4
407205.3610675039,,97799943,872357,112.11,3,нет метро,43
